"","province_2018","lower_dist","district_2013","district_2018","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019","cbr_province","province_deaths","vacc_province","mcv1_2018","mcv1_2017","mcv1_2016","mcv1_2015","mcv1_2014","mcv1_2013","mcv1_cov_2018","mcv1_cov_2017","mcv1_cov_2016","mcv1_cov_2015","mcv1_cov_2014","mcv1_cov_2013","growth_rate","pop_2020","pop_2021","pop_2022","pop_2023","pop_2024","pop_2025","pop_2026","pop_2020.1","pop_2021.1","pop_2022.1","pop_2023.1","pop_2024.1","pop_2025.1","pop_2026.1","PCES2020","ZAMPHIA","sero_PCES2016","district_map","meanseroprev.pop.2016","lowerseroprev.pop.2016","upperseroprev.pop.2016","sia2016"
"21","North-Western","ikelenge","Mwinilunga","Ikelenge",7856.072,11222.96,16032.8,22904,31623,21705,36315,41400,43051,44798,42,10.2,"North Western Province",1770,1754,1426,1170,1272,1349,0.99,0.99,0.99,0.99,0.99,0.99,1.04057977747323,46615.8928712457,48507.5554306768,50475.981235824,52524.2853221166,54655.7091324285,56873.625646664,59181.5447195014,46615.8928712457,48507.5554306768,50475.981235824,52524.2853221166,54655.7091324285,56873.625646664,59181.5447195014,67.46575,83.2,NA,"ikelenge",0.856691274938313,0.840794063423431,0.871887234594175,0.856
"22","Muchinga","isoka","Isoka","Isoka",145746,145746,153090,160547,168109,175759,183586,99237,103582,108075,45.8,13,"Muchinga Province",3797,3475,3502,3343,3309,3357,0.99,0.99,0.99,0.99,0.99,0.99,1.04337626228495,112762.889546446,117654.122219422,122757.518283718,128082.280594242,133638.011191353,139434.728616029,145482.885976109,112762.889546446,117654.122219422,122757.518283718,128082.280594242,133638.011191353,139434.728616029,145482.885976109,70.10676,86.1,NA,"isoka",0.837143283219481,0.82375548421739,0.850031131721823,0.989
"23","Central","itezhi-tezhi","Itezhi-Tezhi","Itezhi-Tezhi",71821,71821,75460,79234,83142,87176,91352,95688,100189,104856,41.2,11.9,"Central Province",3921,4032,3336,3531,3159,3611,0.99,0.99,0.99,0.99,1,0.99,1.04658196009542,109740.398007765,114852.320848619,120202.367075255,125801.62894173,131661.715401032,137794.776173937,144213.526939029,109740.398007765,114852.320848619,120202.367075255,125801.62894173,131661.715401032,137794.776173937,144213.526939029,54.80984,84.7,NA,"itezhi-tezhi",0.791024957162364,0.769656555459486,0.809737553605158,0.929
"24","North-Western","kabompo","Kabompo","Kabompo",94937,94937,97735,100539,103345,106148,108958,52691,54036,55390,42,10.2,"North Western Province",2924,2081,2358,2454,2053,2110,0.99,0.99,0.99,0.99,0.99,0.99,1.0250573691613,56777.9276778444,58200.6331718817,59658.987922691,61153.8852068594,62686.2406841354,64256.9929582919,65867.1041520428,56777.9276778444,58200.6331718817,59658.987922691,61153.8852068594,62686.2406841354,64256.9929582919,65867.1041520428,67.46575,83.2,NA,"kabompo",0.835004431548418,0.819374883938187,0.849916274229503,0.856
"25","Central","kabwe","Kabwe","Kabwe",208049,208049,211325,214590,217843,221077,224307,227551,230802,234055,41.2,11.9,"Central Province",7576,7660,7362,8170,7994,7331,0.87,0.88,0.85,0.94,0.92,0.84,1.0140943319382,237353.848861795,240699.192794462,244091.687114963,247531.996376517,251020.794498772,254558.764899828,258146.600630104,237353.848861795,240699.192794462,244091.687114963,247531.996376517,251020.794498772,254558.764899828,258146.600630104,54.80984,84.7,NA,"kabwe",0.889781909247832,0.878439457445273,0.900128640936123,0.929
"26","Lusaka","kafue","Kafue","Kafue",244628,244628,253863,263345,273061,282998,293149,101175,104685,108251,38.2,10.7,"Lusaka Province",5034,5292,5366,4895,4343,4281,0.48,0.51,0.51,0.47,0.42,0.41,1.03406409705306,111938.472570091,115751.555563691,119694.527786455,123771.813797694,127987.988875332,132347.784150008,136856.091914052,111938.472570091,115751.555563691,119694.527786455,123771.813797694,127987.988875332,132347.784150008,136856.091914052,62.9902,82.9,NA,"kafue",0.869806039185711,0.859581223590862,0.879791032124884,0.961
"27","Western","kalabo","Kalabo","Kalabo",131758,131758,133373,134958,136515,138043,139564,88569,89547,90540,38.7,13.8,"Western Province",4705,4630,4210,4538,3629,3419,0.99,0.99,0.99,0.99,0.99,0.99,1.0110891487152,91544.0115246742,92559.1566824573,93585.5589358625,94623.3431164974,95672.6354402456,96733.5635226176,97806.2563942711,91544.0115246742,92559.1566824573,93585.5589358625,94623.3431164974,95672.6354402456,96733.5635226176,97806.2563942711,65.87838,83.4,NA,"kalabo",0.824454761676729,0.806669005317732,0.841343089089915,0.953
"28","Southern","kalomo","Kalomo","Kalomo",269848,269848,282255,295043,308194,321677,335539,230132,239839,249843,40.7,10.1,"Southern Province",15110,12563,11328,8098,8453,10095,0.99,0.99,0.99,0.94,0.98,0.99,1.04171131467359,260264.279991995,271120.245273037,282429.027138002,294209.513161913,306481.378745374,319265.119975819,332582.087859433,260264.279991995,271120.245273037,282429.027138002,294209.513161913,306481.378745374,319265.119975819,332582.087859433,64.11765,81,95.5,"kalomo",0.815317616751687,0.799217911633724,0.830220920808904,0.968
"29","Copperbelt","kalulushi","Kalulushi","Kalulushi",109524,109524,112829,116236,119745,123359,127080,130907,134840,138882,36.6,11.8,"Copperbelt Province",3675,3737,3380,3910,3862,3553,0.99,0.99,0.99,0.99,0.99,0.99,1.02997626816968,143045.164075942,147333.124274659,151749.621518193,156298.50886747,160983.754883803,165809.447091162,170779.795542234,143045.164075942,147333.124274659,151749.621518193,156298.50886747,160983.754883803,165809.447091162,170779.795542234,78.92235,82.7,NA,"kalulushi",0.836872279630695,0.817456900965628,0.853361422174422,0.989
"30","North-Western","kalumbila","Solwezi","Kalumbila",33071.717,47245.31,67493.3,96419,151414,105646,155903,76361,78024,79685,42,10.2,"North Western Province",6775,7540,7971,7297,5999,4893,0.99,0.99,0.99,0.99,0.99,0.99,1.02128832154209,81381.3599020814,83113.8324592094,84883.1864491965,86690.2070158441,88535.6960173477,90420.4723821177,92345.3724721759,81381.3599020814,83113.8324592094,84883.1864491965,86690.2070158441,88535.6960173477,90420.4723821177,92345.3724721759,67.46575,83.2,NA,"kalumbila",0.867507007658138,0.855178392427521,0.878983472836393,0.856
